prix_million_Ar,superficie_m2,nb_chambres,nb_etages,localisation,acces_route,eau_electricite,type_connexion,parking,type_sol,etat_maison,annee_construction
129,70.0,1,2,periurbain,False,False,fibre,True,ciment,neuf,1992
210,69.0,5,2,urbain,True,False,starlink,True,brut,bon,2003
397,223.0,2,2,urbain,True,False,aucune,True,carrelage,bon,1998
135,67.0,5,1,periurbain,False,False,fibre,True,carrelage,bon,2013
273,222.0,5,1,rural,False,True,starlink,False,carrelage,neuf,1997
194,71.0,4,2,urbain,False,True,starlink,False,ciment,bon,2022
91,105.0,3,2,rural,False,False,starlink,False,brut,bon,2002
114,106.0,1,2,rural,False,False,starlink,False,ciment,neuf,2004
47,61.0,1,1,rural,False,True,starlink,True,brut,bon,2008
277,229.0,3,1,periurbain,False,False,aucune,False,ciment,bon,2000
362,207.0,2,1,periurbain,False,False,aucune,True,brut,neuf,1995
185,53.0,5,2,urbain,True,False,aucune,True,ciment,bon,2023
147,116.0,2,2,periurbain,False,True,aucune,True,carrelage,bon,1993
383,202.0,3,2,urbain,True,True,aucune,False,brut,bon,1994
545,202.0,2,1,urbain,True,False,fibre,False,brut,neuf,2022
189,157.0,2,1,periurbain,True,True,aucune,True,ciment,bon,1998
370,175.0,5,2,periurbain,True,True,starlink,False,ciment,neuf,1995
101,72.0,2,1,periurbain,True,True,fibre,False,ciment,bon,2009
439,244.0,3,1,periurbain,True,False,aucune,True,ciment,neuf,2005
301,227.0,5,2,periurbain,True,True,fibre,True,brut,bon,2006
90,128.0,1,1,rural,False,False,aucune,False,ciment,bon,1991
143,172.0,2,2,periurbain,False,False,fibre,False,brut,a_renover,1990
392,220.0,2,2,urbain,False,True,fibre,False,ciment,bon,2020
307,103.0,2,2,urbain,True,True,aucune,True,carrelage,neuf,2006
212,141.0,5,1,periurbain,False,False,fibre,True,ciment,bon,1992
273,181.0,5,2,urbain,False,False,fibre,False,brut,a_renover,1991
219,158.0,3,1,urbain,False,True,starlink,False,carrelage,a_renover,2012
424,114.0,5,2,urbain,False,True,starlink,True,brut,neuf,2018
207,70.0,5,1,periurbain,False,False,fibre,False,carrelage,neuf,1995
110,93.0,1,2,periurbain,True,False,fibre,False,carrelage,bon,2013
115,86.0,2,1,periurbain,False,False,aucune,False,brut,bon,1990
338,161.0,4,2,urbain,False,True,starlink,True,carrelage,bon,1999
249,214.0,2,2,periurbain,True,True,starlink,True,ciment,bon,2001
109,85.0,1,1,urbain,True,True,starlink,True,carrelage,a_renover,2021
131,242.0,4,1,rural,True,False,fibre,False,carrelage,a_renover,2023
350,187.0,3,1,periurbain,True,False,aucune,False,ciment,neuf,2012
588,195.0,4,2,urbain,True,False,starlink,True,ciment,neuf,2020
269,230.0,4,2,rural,False,False,aucune,True,carrelage,neuf,1993
518,166.0,4,2,urbain,False,False,aucune,False,ciment,neuf,1993
68,53.0,1,2,periurbain,False,False,aucune,False,brut,bon,2012
198,181.0,2,1,rural,True,True,starlink,True,carrelage,neuf,2019
95,86.0,5,1,rural,False,False,starlink,False,ciment,bon,2000
429,225.0,4,1,periurbain,False,False,aucune,False,brut,neuf,2004
158,51.0,4,1,periurbain,False,True,starlink,True,carrelage,neuf,2014
291,197.0,5,2,urbain,False,True,aucune,False,carrelage,a_renover,2014
265,187.0,4,2,urbain,False,True,aucune,False,brut,a_renover,2015
65,52.0,3,2,periurbain,True,True,starlink,True,ciment,a_renover,1999
212,177.0,1,1,urbain,False,False,fibre,False,ciment,a_renover,2009
260,182.0,4,1,urbain,False,False,fibre,False,carrelage,a_renover,2019
134,116.0,1,2,periurbain,False,False,fibre,True,ciment,bon,2008
192,121.0,4,2,urbain,True,False,starlink,False,brut,a_renover,2023
46,90.0,1,2,rural,True,False,starlink,True,brut,a_renover,2006
140,121.0,2,2,rural,True,True,aucune,True,ciment,neuf,2020
391,113.0,4,2,urbain,True,True,aucune,False,ciment,neuf,2020
87,59.0,2,2,periurbain,False,True,aucune,True,ciment,bon,2023
56,76.0,4,1,rural,False,True,starlink,True,brut,a_renover,2004
144,125.0,2,1,rural,True,True,starlink,False,ciment,neuf,2022
364,114.0,3,1,urbain,False,True,aucune,False,brut,neuf,2016
110,109.0,5,1,rural,True,False,aucune,True,carrelage,bon,2015
367,128.0,2,1,urbain,False,False,aucune,True,brut,neuf,2009
113,80.0,3,2,rural,False,True,fibre,True,brut,neuf,2018
364,221.0,1,1,periurbain,True,False,aucune,False,carrelage,neuf,1998
600,225.0,2,2,urbain,False,False,starlink,False,ciment,neuf,2011
267,241.0,3,2,rural,True,True,aucune,True,ciment,neuf,2005
115,65.0,3,1,urbain,True,False,starlink,False,brut,a_renover,2018
319,162.0,3,1,urbain,False,False,fibre,True,carrelage,bon,2007
203,133.0,5,2,periurbain,True,True,fibre,False,ciment,bon,2013
114,97.0,1,1,periurbain,False,True,fibre,True,brut,bon,2001
330,199.0,1,1,periurbain,False,True,starlink,False,carrelage,neuf,1993
575,177.0,5,1,urbain,False,True,fibre,False,brut,neuf,2004
342,80.0,5,2,urbain,False,False,starlink,False,ciment,neuf,2004
218,215.0,1,1,rural,True,False,aucune,True,brut,neuf,2010
120,112.0,1,1,rural,True,False,fibre,False,carrelage,neuf,2002
220,174.0,3,1,periurbain,False,False,starlink,False,ciment,bon,2018
367,185.0,4,2,periurbain,True,False,starlink,True,ciment,neuf,1998
148,182.0,4,1,rural,True,False,fibre,True,brut,bon,2018
279,228.0,5,1,rural,True,False,starlink,True,carrelage,neuf,2003
66,123.0,2,1,rural,False,False,aucune,True,carrelage,a_renover,2006
277,239.0,4,1,rural,True,True,fibre,False,carrelage,neuf,2006
270,100.0,1,2,urbain,False,True,starlink,True,carrelage,neuf,2021
251,136.0,2,2,periurbain,True,True,fibre,True,carrelage,neuf,1997
151,120.0,2,2,periurbain,True,True,starlink,False,ciment,bon,2007
202,228.0,4,2,periurbain,True,True,aucune,True,brut,a_renover,2009
49,84.0,2,2,rural,True,False,fibre,False,ciment,a_renover,2022
337,166.0,4,1,periurbain,True,False,fibre,True,ciment,neuf,2012
196,69.0,1,2,urbain,False,True,fibre,False,ciment,neuf,2006
191,200.0,5,2,periurbain,False,False,fibre,False,ciment,a_renover,2019
130,110.0,2,1,rural,False,False,fibre,True,carrelage,neuf,2011
485,177.0,2,2,urbain,False,True,fibre,False,ciment,neuf,2004
211,153.0,4,1,periurbain,False,True,aucune,True,brut,bon,2012
331,233.0,5,1,urbain,False,True,aucune,False,carrelage,a_renover,2009
283,127.0,4,1,urbain,False,False,starlink,False,carrelage,bon,2022
153,227.0,1,1,rural,True,True,aucune,True,carrelage,bon,2017
114,77.0,2,1,urbain,False,False,fibre,False,ciment,a_renover,2021
129,53.0,5,1,urbain,True,False,fibre,True,ciment,a_renover,2009
125,217.0,5,1,rural,True,True,aucune,True,ciment,a_renover,2021
176,107.0,4,2,urbain,False,False,aucune,False,carrelage,a_renover,2003
122,67.0,4,2,periurbain,True,True,starlink,True,brut,bon,2017
107,83.0,1,1,urbain,True,False,starlink,True,brut,a_renover,2007
398,205.0,4,1,periurbain,True,False,aucune,True,carrelage,neuf,2006
426,241.0,2,2,urbain,False,False,aucune,False,carrelage,bon,2021
126,81.0,4,1,rural,True,False,aucune,True,brut,neuf,2003
72,62.0,4,1,rural,False,False,starlink,True,brut,bon,2003
217,201.0,2,1,rural,False,True,fibre,False,carrelage,neuf,2020
186,69.0,4,1,periurbain,True,True,fibre,True,brut,neuf,2023
75,78.0,2,2,periurbain,True,False,starlink,True,brut,a_renover,2002
108,59.0,3,2,urbain,False,False,fibre,True,brut,a_renover,2011
178,74.0,3,2,urbain,False,True,starlink,True,ciment,bon,1991
184,215.0,3,2,periurbain,True,True,fibre,False,ciment,a_renover,2001
226,116.0,2,2,urbain,True,False,aucune,False,carrelage,bon,2021
236,177.0,4,1,periurbain,True,True,fibre,False,brut,bon,2023
492,245.0,5,2,urbain,True,True,starlink,False,carrelage,bon,1990
233,230.0,1,2,rural,True,False,fibre,False,brut,neuf,2019
129,97.0,3,2,rural,True,True,fibre,True,brut,neuf,2014
283,119.0,5,1,periurbain,False,True,starlink,False,ciment,neuf,1995
575,202.0,3,1,urbain,True,True,fibre,False,carrelage,neuf,1998
85,70.0,5,1,rural,True,True,aucune,True,ciment,bon,2010
86,179.0,1,1,rural,True,True,fibre,True,brut,a_renover,1992
98,140.0,1,2,rural,False,False,fibre,False,brut,bon,1996
135,161.0,4,1,rural,False,False,starlink,False,ciment,bon,1998
145,186.0,1,1,periurbain,True,True,aucune,False,brut,a_renover,2009
67,54.0,4,2,rural,True,False,aucune,False,brut,bon,1995
210,119.0,1,2,urbain,False,False,aucune,True,ciment,bon,2012
450,231.0,4,1,urbain,False,True,starlink,False,brut,bon,2010
304,221.0,4,1,urbain,True,False,starlink,True,brut,a_renover,2003
207,178.0,3,2,rural,True,False,aucune,True,carrelage,neuf,1998
319,235.0,4,2,urbain,True,True,aucune,False,carrelage,a_renover,2002
163,242.0,1,2,rural,True,True,fibre,False,ciment,bon,2000
99,195.0,2,2,rural,False,False,aucune,True,carrelage,a_renover,2020
142,184.0,3,1,rural,True,True,starlink,True,brut,bon,2023
450,244.0,3,2,urbain,False,False,fibre,False,ciment,bon,2015
151,83.0,5,2,periurbain,False,True,fibre,True,ciment,bon,2020
124,79.0,4,1,rural,False,False,fibre,True,carrelage,neuf,1994
443,172.0,1,1,urbain,True,False,starlink,False,brut,neuf,2007
234,85.0,1,1,urbain,True,False,aucune,False,carrelage,neuf,2021
322,189.0,1,2,urbain,True,True,aucune,True,carrelage,bon,2008
72,74.0,2,2,periurbain,False,False,starlink,False,brut,a_renover,2019
222,117.0,2,1,periurbain,True,False,fibre,True,ciment,neuf,2021
180,235.0,1,2,periurbain,True,False,aucune,False,ciment,a_renover,1999
326,159.0,4,2,periurbain,False,True,starlink,True,brut,neuf,2018
373,118.0,3,2,urbain,True,False,starlink,False,carrelage,neuf,2012
310,174.0,2,2,periurbain,True,True,fibre,False,brut,neuf,1993
139,155.0,5,1,rural,False,True,fibre,False,carrelage,bon,1995
97,102.0,4,1,rural,False,False,starlink,True,carrelage,bon,2019
127,76.0,3,1,urbain,True,False,aucune,True,carrelage,a_renover,2016
77,95.0,2,2,rural,True,True,fibre,False,ciment,bon,2003
221,129.0,1,2,periurbain,True,False,aucune,True,brut,neuf,2010
335,77.0,5,2,urbain,True,True,starlink,True,brut,neuf,2009
110,73.0,2,1,urbain,False,True,starlink,False,brut,a_renover,2015
218,215.0,1,2,rural,True,True,starlink,False,ciment,neuf,2005
210,72.0,5,1,periurbain,False,True,aucune,False,ciment,neuf,1996
439,237.0,3,1,urbain,True,True,aucune,False,ciment,bon,2017
123,155.0,3,2,rural,False,False,aucune,True,ciment,bon,2005
102,190.0,3,2,rural,False,False,aucune,False,ciment,a_renover,2020
436,119.0,5,1,urbain,True,True,starlink,True,carrelage,neuf,2015
215,88.0,4,1,periurbain,True,True,aucune,True,brut,neuf,2005
255,241.0,2,1,rural,False,False,fibre,True,carrelage,neuf,1992
154,215.0,2,1,rural,True,True,starlink,True,ciment,bon,1996
249,202.0,3,1,periurbain,False,False,aucune,True,ciment,bon,2011
532,209.0,1,2,urbain,False,False,fibre,False,brut,neuf,2006
290,131.0,4,2,urbain,False,False,starlink,False,brut,bon,2020
166,110.0,5,2,rural,False,True,aucune,False,carrelage,neuf,1995
171,139.0,2,1,periurbain,True,True,starlink,False,brut,bon,2001
114,106.0,1,1,rural,True,True,starlink,False,ciment,neuf,2019
224,81.0,5,2,periurbain,False,True,aucune,True,carrelage,neuf,2017
179,183.0,5,1,periurbain,True,False,fibre,True,carrelage,a_renover,1998
341,242.0,5,2,urbain,True,False,aucune,True,brut,a_renover,2006
142,51.0,3,1,urbain,True,False,aucune,True,carrelage,bon,2011
210,175.0,1,2,urbain,True,True,starlink,True,carrelage,a_renover,2010
68,58.0,1,2,rural,False,False,aucune,True,brut,neuf,2022
390,206.0,3,2,urbain,False,True,fibre,True,brut,bon,1997
56,88.0,3,1,rural,True,True,starlink,False,brut,a_renover,2009
355,172.0,4,2,urbain,False,True,aucune,True,ciment,bon,1993
86,65.0,2,1,rural,True,True,aucune,False,ciment,neuf,2006
292,84.0,3,2,urbain,True,True,starlink,False,carrelage,neuf,2013
95,81.0,4,1,periurbain,True,False,starlink,False,carrelage,a_renover,1999
126,54.0,2,2,urbain,False,False,starlink,True,ciment,bon,1991
44,56.0,1,2,rural,False,True,aucune,True,brut,bon,2022
152,134.0,1,1,periurbain,False,True,starlink,True,carrelage,bon,2010
120,138.0,4,1,rural,False,True,aucune,True,carrelage,bon,2021
257,235.0,1,2,periurbain,False,True,aucune,True,ciment,bon,1995
332,170.0,3,2,urbain,True,True,starlink,True,ciment,bon,2017
165,147.0,2,1,rural,False,True,aucune,False,carrelage,neuf,2001
190,148.0,4,1,rural,False,True,fibre,True,brut,neuf,2020
265,205.0,4,2,periurbain,True,False,fibre,False,ciment,bon,2014
152,196.0,1,1,periurbain,False,True,aucune,False,carrelage,a_renover,2001
726,240.0,5,2,urbain,False,False,fibre,True,carrelage,neuf,1996
62,89.0,4,1,rural,False,True,fibre,True,brut,a_renover,2005
167,192.0,3,2,periurbain,True,True,starlink,False,carrelage,a_renover,2009
150,107.0,3,2,periurbain,False,False,aucune,False,carrelage,bon,2007
176,50.0,5,1,periurbain,True,True,fibre,False,brut,neuf,2006
298,248.0,5,2,rural,False,False,fibre,False,ciment,neuf,2004
147,106.0,2,2,urbain,False,True,starlink,False,brut,a_renover,2007
112,199.0,4,1,rural,False,True,starlink,True,carrelage,a_renover,2015
199,87.0,3,1,urbain,True,True,fibre,True,brut,bon,2018
159,198.0,4,2,rural,False,True,starlink,False,brut,bon,1999
102,115.0,2,2,periurbain,False,False,fibre,False,ciment,a_renover,1995
568,174.0,5,1,urbain,False,False,fibre,False,ciment,neuf,2010
357,179.0,4,1,periurbain,True,False,aucune,True,brut,neuf,1995
200,91.0,3,1,periurbain,True,False,fibre,False,carrelage,neuf,1996
114,128.0,4,1,rural,False,True,fibre,False,carrelage,bon,1996
276,209.0,3,1,urbain,False,False,aucune,False,brut,a_renover,2008
