id,prix,superficie_m2,nb_chambres,nb_etages,localisation,acces_route,eau_electricite,type_connexion,parking,type_sol,etat_maison,annee_construction
107.0,129.0,70.0,1.0,2.0,periurbain,0,non,fibre,1,ciment,neuf,1992.0
5484.0,210.0,69.0,5.0,2.0,urbain,Yes,non,starlink,1,brut,bon,2003.0
6998.0,397.0,223.0,2.0,2.0,urbain,1,0,aucune,oui,carrelage,bon,1998.0
3984.0,221.0,185.0,1.0,,urbain,non,No,starlink,non,ciment,a_renover,2015.0
3111.0,80.0,,2.0,1.0,periurbain,oui,oui,fibre,non,brut,a_renover,2007.0
4040.0,135.0,67.0,5.0,1.0,periurbain,0,0,fibre,Yes,carrelage,bon,2013.0
3013.0,273.0,222.0,5.0,1.0,rural,0,oui,starlink,No,carrelage,neuf,1997.0
6607.0,194.0,71.0,4.0,2.0,urbain,non,1,starlink,0,ciment,bon,2022.0
4219.0,91.0,105.0,3.0,2.0,rural,0,non,starlink,0,brut,bon,2002.0
8750.0,155.0,175.0,3.0,1.0,periurbain,non,Yes,starlink,No,ciment,a_renover,
5665.0,114.0,106.0,1.0,2.0,rural,No,non,starlink,non,ciment,neuf,2004.0
9225.0,47.0,61.0,1.0,1.0,rural,No,1,starlink,Yes,brut,bon,2008.0
8030.0,277.0,229.0,3.0,1.0,periurbain,non,non,aucune,0,ciment,bon,2000.0
9886.0,414.0,234.0,2.0,2.0,urbain,oui,0,aucune,oui,brut,,
1851.0,362.0,207.0,2.0,1.0,periurbain,0,non,aucune,1,brut,neuf,1995.0
1123.0,652.0,209.0,5.0,2.0,urbain,Yes,non,aucune,Yes,,neuf,2002.0
3043.0,185.0,53.0,5.0,2.0,urbain,1,No,aucune,oui,ciment,bon,2023.0
3369.0,147.0,116.0,2.0,2.0,periurbain,No,oui,aucune,oui,carrelage,bon,1993.0
6829.0,383.0,202.0,3.0,2.0,urbain,1,1,aucune,0,brut,bon,1994.0
5226.0,220.0,171.0,2.0,2.0,,No,,aucune,non,carrelage,a_renover,2015.0
3088.0,314.0,243.0,3.0,2.0,urbain,,No,starlink,non,ciment,a_renover,2014.0
,404.0,156.0,1.0,,urbain,oui,Yes,aucune,oui,ciment,neuf,2012.0
9535.0,,77.0,3.0,2.0,urbain,,oui,starlink,non,ciment,a_renover,1996.0
4993.0,545.0,202.0,2.0,1.0,urbain,oui,non,fibre,non,brut,neuf,2022.0
4209.0,189.0,157.0,2.0,1.0,periurbain,1,1,aucune,1,ciment,bon,1998.0
381.0,97.0,81.0,1.0,,periurbain,0,No,aucune,non,brut,bon,2016.0
6167.0,127.0,161.0,3.0,2.0,rural,0,Yes,aucune,,carrelage,,2021.0
4688.0,375.0,197.0,3.0,,urbain,No,non,starlink,non,ciment,bon,2011.0
6877.0,155.0,136.0,2.0,1.0,rural,0,No,,oui,brut,neuf,2011.0
1275.0,360.0,100.0,4.0,,urbain,oui,non,starlink,Yes,brut,neuf,2001.0
8412.0,370.0,175.0,5.0,2.0,periurbain,Yes,1,starlink,0,ciment,neuf,1995.0
559.0,468.0,170.0,2.0,1.0,urbain,1,,starlink,No,ciment,neuf,2022.0
2113.0,197.0,208.0,5.0,1.0,periurbain,,No,fibre,1,brut,a_renover,2015.0
9345.0,98.0,50.0,3.0,,urbain,No,oui,starlink,No,ciment,a_renover,1998.0
