id,prix_million_ariary,superficie_m2,nb_chambres,nb_etages,localisation,acces_route,eau_electricite,type_connexion,parking,type_sol,etat_maison,annee_construction
107,129,70.0,1,2,periurbain,False,False,fibre,True,ciment,neuf,1992
5484,210,69.0,5,2,urbain,True,False,starlink,True,brut,bon,2003
6998,397,223.0,2,2,urbain,True,False,aucune,True,carrelage,bon,1998
4040,135,67.0,5,1,periurbain,False,False,fibre,True,carrelage,bon,2013
3013,273,222.0,5,1,rural,False,True,starlink,False,carrelage,neuf,1997
6607,194,71.0,4,2,urbain,False,True,starlink,False,ciment,bon,2022
4219,91,105.0,3,2,rural,False,False,starlink,False,brut,bon,2002
5665,114,106.0,1,2,rural,False,False,starlink,False,ciment,neuf,2004
9225,47,61.0,1,1,rural,False,True,starlink,True,brut,bon,2008
8030,277,229.0,3,1,periurbain,False,False,aucune,False,ciment,bon,2000
1851,362,207.0,2,1,periurbain,False,False,aucune,True,brut,neuf,1995
3043,185,53.0,5,2,urbain,True,False,aucune,True,ciment,bon,2023
3369,147,116.0,2,2,periurbain,False,True,aucune,True,carrelage,bon,1993
6829,383,202.0,3,2,urbain,True,True,aucune,False,brut,bon,1994
4993,545,202.0,2,1,urbain,True,False,fibre,False,brut,neuf,2022
4209,189,157.0,2,1,periurbain,True,True,aucune,True,ciment,bon,1998
8412,370,175.0,5,2,periurbain,True,True,starlink,False,ciment,neuf,1995
5938,101,72.0,2,1,periurbain,True,True,fibre,False,ciment,bon,2009
4786,439,244.0,3,1,periurbain,True,False,aucune,True,ciment,neuf,2005
2602,301,227.0,5,2,periurbain,True,True,fibre,True,brut,bon,2006
7779,90,128.0,1,1,rural,False,False,aucune,False,ciment,bon,1991
2826,143,172.0,2,2,periurbain,False,False,fibre,False,brut,a_renover,1990
1118,392,220.0,2,2,urbain,False,True,fibre,False,ciment,bon,2020
8654,307,103.0,2,2,urbain,True,True,aucune,True,carrelage,neuf,2006
7719,212,141.0,5,1,periurbain,False,False,fibre,True,ciment,bon,1992
6575,273,181.0,5,2,urbain,False,False,fibre,False,brut,a_renover,1991
7234,424,114.0,5,2,urbain,False,True,starlink,True,brut,neuf,2018
8366,207,70.0,5,1,periurbain,False,False,fibre,False,carrelage,neuf,1995
3948,110,93.0,1,2,periurbain,True,False,fibre,False,carrelage,bon,2013
2820,115,86.0,2,1,periurbain,False,False,aucune,False,brut,bon,1990
4184,338,161.0,4,2,urbain,False,True,starlink,True,carrelage,bon,1999
9403,249,214.0,2,2,periurbain,True,True,starlink,True,ciment,bon,2001
9625,109,85.0,1,1,urbain,True,True,starlink,True,carrelage,a_renover,2021
33,131,242.0,4,1,rural,True,False,fibre,False,carrelage,a_renover,2023
3522,350,187.0,3,1,periurbain,True,False,aucune,False,ciment,neuf,2012
4836,588,195.0,4,2,urbain,True,False,starlink,True,ciment,neuf,2020
6899,269,230.0,4,2,rural,False,False,aucune,True,carrelage,neuf,1993
9733,518,166.0,4,2,urbain,False,False,aucune,False,ciment,neuf,1993
2954,198,181.0,2,1,rural,True,True,starlink,True,carrelage,neuf,2019
5865,95,86.0,5,1,rural,False,False,starlink,False,ciment,bon,2000
9559,429,225.0,4,1,periurbain,False,False,aucune,False,brut,neuf,2004
5567,291,197.0,5,2,urbain,False,True,aucune,False,carrelage,a_renover,2014
9783,265,187.0,4,2,urbain,False,True,aucune,False,brut,a_renover,2015
3204,65,52.0,3,2,periurbain,True,True,starlink,True,ciment,a_renover,1999
4553,212,177.0,1,1,urbain,False,False,fibre,False,ciment,a_renover,2009
5572,260,182.0,4,1,urbain,False,False,fibre,False,carrelage,a_renover,2019
1178,134,116.0,1,2,periurbain,False,False,fibre,True,ciment,bon,2008
5032,192,121.0,4,2,urbain,True,False,starlink,False,brut,a_renover,2023
4829,46,90.0,1,2,rural,True,False,starlink,True,brut,a_renover,2006
5422,140,121.0,2,2,rural,True,True,aucune,True,ciment,neuf,2020
8574,391,113.0,4,2,urbain,True,True,aucune,False,ciment,neuf,2020
8492,87,59.0,2,2,periurbain,False,True,aucune,True,ciment,bon,2023
6302,56,76.0,4,1,rural,False,True,starlink,True,brut,a_renover,2004
4889,144,125.0,2,1,rural,True,True,starlink,False,ciment,neuf,2022
5261,110,109.0,5,1,rural,True,False,aucune,True,carrelage,bon,2015
1617,367,128.0,2,1,urbain,False,False,aucune,True,brut,neuf,2009
2492,113,80.0,3,2,rural,False,True,fibre,True,brut,neuf,2018
1501,600,225.0,2,2,urbain,False,False,starlink,False,ciment,neuf,2011
2018,267,241.0,3,2,rural,True,True,aucune,True,ciment,neuf,2005
1056,115,65.0,3,1,urbain,True,False,starlink,False,brut,a_renover,2018
